# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/scripts/extend_go_genes.pl on Mon Oct  1 12:06:18 2018
# Input = /Users/Daniela/Documents/CCG/datasets/GOs/gos_complete_table_BPonly.txt
# GO ID	Branch	Name	Genes	Children	Parents
GO:0000041	P	transition metal ion transport	afuC,copA,corA,cusA,cusB,cusC,exbB,fecA,feoA,feoB,fepA,fepB,fepC,fepD,fepE,fepG,fhuB,fhuC,fhuD,fieF,mntH,mntP,modC,nikA,nikB,nikC,nikD,nikE,pitA,rcnA,ydaN,yebZ,yobA,zitB,zntA,znuA,znuB,znuC,zupT,	GO:0015675,GO:0036249,GO:0015694,GO:0006829,GO:0015676,GO:0015673,GO:0006825,GO:0006824,GO:0006826,GO:0015691,GO:0006828,	GO:0030001,
GO:0000044	P	obsolete ascorbate stabilization			
GO:0000045	P	autophagosome assembly			GO:1905037,GO:0070925,
GO:0000050	P	urea cycle	argF,argG,argI,carA,carB,pyrB,ygeW,		GO:0019627,GO:0043604,GO:1901566,
GO:0000051	P	obsolete urea cycle intermediate metabolic process			
GO:0000052	P	citrulline metabolic process		GO:0019241,GO:0019240,	GO:1901605,
GO:0000053	P	argininosuccinate metabolic process	argG,		GO:0072350,GO:1901605,GO:0006575,
GO:0000054	P	ribosomal subunit export from nucleus		GO:0000055,GO:0000056,	GO:0071428,GO:0033750,GO:0051656,
GO:0000055	P	ribosomal large subunit export from nucleus			GO:0000054,
GO:0000056	P	ribosomal small subunit export from nucleus			GO:0000054,
GO:0000059	P	obsolete protein import into nucleus, docking			
GO:0000060	P	protein import into nucleus, translocation			GO:0006886,
GO:0000061	P	protein import into nucleus, substrate release			GO:0043624,
GO:0000067	P	obsolete DNA replication and chromosome cycle			
GO:0000070	P	mitotic sister chromatid segregation			GO:0000819,GO:1903047,
GO:0000072	P	obsolete M phase specific microtubule process			
GO:0000073	P	mitotic spindle pole body separation			GO:0110100,
GO:0000075	P	cell cycle checkpoint		GO:0031570,GO:0007093,GO:0031577,GO:0033313,	GO:0045786,GO:0009987,
GO:0000076	P	DNA replication checkpoint		GO:0033314,GO:0033315,	GO:0031570,
GO:0000077	P	DNA damage checkpoint		GO:0044783,GO:0044773,GO:0031572,	GO:0031570,GO:0006974,
GO:0000078	P	obsolete cytokinesis after mitosis checkpoint			
GO:0000079	P	regulation of cyclin-dependent protein serine/threonine kinase activity		GO:0031660,GO:0031657,GO:0045737,GO:0045736,	GO:0071900,GO:1904029,
GO:0000080	P	mitotic G1 phase			GO:0051318,
GO:0000082	P	G1/S transition of mitotic cell cycle			GO:0044843,GO:0044772,
GO:0000083	P	regulation of transcription involved in G1/S transition of mitotic cell cycle		GO:0071931,GO:0071930,	GO:0006355,GO:1903047,
GO:0000084	P	mitotic S phase			GO:0051320,
GO:0000085	P	mitotic G2 phase			GO:0051319,
GO:0000086	P	G2/M transition of mitotic cell cycle			GO:0044839,GO:0044772,
GO:0000087	P	mitotic M phase			GO:0000279,GO:0098763,
GO:0000088	P	mitotic prophase			GO:0051324,
GO:0000089	P	mitotic metaphase			GO:0051323,
GO:0000090	P	mitotic anaphase		GO:0000092,GO:0000091,	GO:0051322,
GO:0000091	P	mitotic anaphase A			GO:0000090,
GO:0000092	P	mitotic anaphase B			GO:0000090,
GO:0000093	P	mitotic telophase			GO:0051326,
GO:0000094	P	obsolete septin assembly and septum formation			
GO:0000096	P	sulfur amino acid metabolic process	csdA,cysE,cysK,cysM,cysZ,dcyD,decR,luxS,metB,metC,metE,metH,metK,mmuP,mtn,mtnN,thrB,wcaB,yhaM,yhaO,yhfS,	GO:0033321,GO:0052698,GO:0000097,GO:0000098,GO:0006534,GO:0006555,GO:0050667,GO:0030329,	GO:0006790,GO:0006520,
GO:0000097	P	sulfur amino acid biosynthetic process	cysE,cysK,cysM,cysZ,luxS,metB,metE,metH,mmuP,mtn,mtnN,thrB,wcaB,yhfS,	GO:0052699,GO:0071268,GO:0046311,GO:0033322,GO:0019344,GO:0009086,	GO:0008652,GO:0044272,GO:0000096,
GO:0000098	P	sulfur amino acid catabolic process	dcyD,decR,metC,yhaM,yhaO,	GO:0043418,GO:0030328,GO:0052700,GO:0009087,GO:0009093,	GO:0009063,GO:0044273,GO:0000096,
GO:0000101	P	sulfur amino acid transport	cydC,cydD,eamA,eamB,metI,metN,metQ,nlpA,tcyJ,tcyL,tcyN,tcyP,yecS,yijE,yjeH,	GO:0015821,GO:0042883,GO:0015811,	GO:0072348,GO:0006865,
GO:0000103	P	sulfate assimilation	cysH,cysQ,cysZ,	GO:0010134,GO:0019379,	GO:0006790,
GO:0000105	P	histidine biosynthetic process	hisA,hisB,hisC,hisD,hisF,hisG,hisH,hisI,		GO:0018130,GO:0019438,GO:0006547,GO:1901362,GO:1901607,
GO:0000114	P	obsolete regulation of transcription involved in G1 phase of mitotic cell cycle			
GO:0000115	P	obsolete regulation of transcription involved in S phase of mitotic cell cycle			
GO:0000116	P	obsolete regulation of transcription involved in G2-phase of mitotic cell cycle			
GO:0000117	P	regulation of transcription involved in G2/M transition of mitotic cell cycle		GO:0090419,GO:0090282,	GO:0006355,GO:1903047,
GO:0000122	P	negative regulation of transcription by RNA polymerase II		GO:0072368,GO:1900463,GO:0034244,GO:1904089,GO:1904490,GO:1900462,GO:0097201,GO:0034396,GO:1901227,GO:1902352,GO:1901581,GO:1900526,GO:1900474,GO:1900464,GO:1904489,GO:1900473,GO:0072362,GO:1902894,GO:1900387,GO:0046020,GO:0061398,GO:1900460,GO:1903758,GO:0010674,GO:0060633,GO:0061427,GO:0010768,GO:0061587,GO:1900477,GO:0000437,GO:1900392,GO:0072365,GO:0035952,GO:0010688,GO:1905381,GO:1900471,GO:2000805,GO:1902625,GO:0035949,GO:2000820,	GO:0045892,GO:0006357,
GO:0000128	P	flocculation		GO:0032128,GO:0000501,	GO:0098630,
GO:0000132	P	establishment of mitotic spindle orientation		GO:0003425,	GO:0051294,GO:0040001,
GO:0000147	P	actin cortical patch assembly			GO:0044396,GO:0030866,GO:0022607,
GO:0000154	P	rRNA modification	rlmA,rlmB,rlmC,rlmD,rlmE,rlmF,rlmG,rlmH,rlmI,rlmJ,rlmL,rlmM,rlmN,rluA,rluB,rluC,rluD,rluE,rluF,rsmA,rsmB,rsmC,rsmD,rsmE,rsmF,rsmG,rsmH,rsmI,rsmJ,rsuA,tmcA,yfiF,	GO:0031167,GO:0002110,GO:1990882,GO:0031118,	GO:0009451,GO:0006364,
GO:0000160	P	phosphorelay signal transduction system	arcA,arcB,argK,atoS,baeS,barA,basR,basS,cheA,cheY,cpxA,creC,cusR,cusS,dcuR,dcuS,dpiA,dpiB,envZ,evgS,glnL,glrK,glrR,kdpD,narQ,narX,ompR,phoP,phoQ,phoR,qseC,rcsC,rcsD,rstB,torS,uhpB,uhpC,uvrY,yehT,yehU,ypdA,zraR,zraS,	GO:0009873,GO:0007234,	GO:0035556,
GO:0000161	P	osmosensory signaling MAPK cascade			GO:0051403,
GO:0000162	P	tryptophan biosynthetic process	hisA,menF,pabA,trpA,trpB,trpC,trpD,trpE,trpGD,		GO:0046219,GO:0009073,GO:0006568,GO:1901607,
GO:0000165	P	MAPK cascade		GO:0035420,GO:0071507,GO:0070375,GO:0070371,GO:0000196,GO:1903616,GO:1903695,GO:0051403,	GO:0023014,GO:0035556,
GO:0000167	P	activation of MAPKKK activity involved in osmosensory signaling pathway			GO:0000185,
GO:0000168	P	activation of MAPKK activity involved in osmosensory signaling pathway			GO:0000186,
GO:0000169	P	activation of MAPK activity involved in osmosensory signaling pathway			GO:0000187,
GO:0000173	P	inactivation of MAPK activity involved in osmosensory signaling pathway			GO:0000188,
GO:0000174	P	obsolete inactivation of MAPK (mating sensu Saccharomyces)			
GO:0000183	P	chromatin silencing at rDNA			GO:0006342,
GO:0000184	P	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay		GO:0070479,GO:0070478,	GO:0000956,
GO:0000185	P	activation of MAPKKK activity		GO:0035422,GO:0071510,GO:0000167,GO:0042655,GO:0000197,	GO:0043406,GO:0032147,
GO:0000186	P	activation of MAPKK activity		GO:0007256,GO:0071509,GO:0035421,GO:0000198,GO:0000168,	GO:0043406,GO:0032147,
GO:0000187	P	activation of MAPK activity		GO:0000169,GO:0071883,GO:0071508,GO:0035419,GO:0000199,GO:0007257,	GO:0043406,GO:0032147,
GO:0000188	P	inactivation of MAPK activity		GO:0071511,GO:0000200,GO:0000173,GO:0035423,	GO:0043407,
GO:0000189	P	obsolete MAPK import into nucleus			
GO:0000190	P	obsolete MAPKKK cascade (pseudohyphal growth)			
GO:0000191	P	obsolete activation of MAPKKK (pseudohyphal growth)			
GO:0000192	P	obsolete activation of MAPKK (pseudohyphal growth)			
GO:0000193	P	obsolete activation of MAPK (pseudohyphal growth)			
GO:0000194	P	obsolete inactivation of MAPK (pseudohyphal growth)			
GO:0000195	P	obsolete nuclear translocation of MAPK (pseudohyphal growth)			
GO:0000196	P	cell wall integrity MAPK cascade			GO:0000165,
GO:0000197	P	activation of MAPKKK activity involved in cell wall organization or biogenesis			GO:0000185,
GO:0000198	P	activation of MAPKK activity involved in cell wall organization or biogenesis			GO:0000186,
GO:0000199	P	activation of MAPK activity involved in cell wall organization or biogenesis			GO:0000187,
GO:0000200	P	inactivation of MAPK activity involved in cell wall organization or biogenesis			GO:0000188,
GO:0000201	P	obsolete MAPK import into nucleus involved in cell wall organization or biogenesis			
GO:0000202	P	obsolete MAPKKK cascade during sporulation (sensu Saccharomyces)			
GO:0000203	P	obsolete activation of MAPKKK during sporulation (sensu Saccharomyces)			
GO:0000204	P	obsolete activation of MAPKK during sporulation (sensu Saccharomyces)			
GO:0000205	P	obsolete activation of MAPK during sporulation (sensu Saccharomyces)			
GO:0000206	P	obsolete inactivation of MAPK during sporulation (sensu Saccharomyces)			
GO:0000207	P	obsolete nuclear translocation of MAPK during sporulation (sensu Saccharomyces)			
GO:0000208	P	obsolete MAPK import into nucleus involved in osmosensory signaling pathway			
GO:0000209	P	protein polyubiquitination		GO:0070936,GO:0070534,GO:0044314,GO:0035519,GO:1990390,GO:1901044,GO:0070979,GO:0085020,GO:0097039,	GO:0016567,
GO:0000212	P	meiotic spindle organization		GO:0051229,GO:0090306,	GO:0007051,GO:1903046,
GO:0000216	P	obsolete M/G1 transition of mitotic cell cycle			
GO:0000226	P	microtubule cytoskeleton organization		GO:0034453,GO:0031109,GO:0090172,GO:0007051,GO:0030951,GO:0080175,GO:0032118,GO:0031122,GO:0010245,GO:0007020,GO:0090176,GO:0035044,GO:0021815,GO:1902850,GO:0031121,GO:0051013,GO:0001578,GO:0051293,	GO:0007010,GO:0007017,
GO:0000236	P	mitotic prometaphase			GO:0098763,
GO:0000237	P	leptotene			GO:0098764,
GO:0000238	P	zygotene			GO:0098764,
GO:0000239	P	pachytene			GO:0098764,
GO:0000240	P	diplotene			GO:0098764,
GO:0000241	P	diakinesis			GO:0098764,
GO:0000244	P	spliceosomal tri-snRNP complex assembly			GO:0000387,
GO:0000245	P	spliceosomal complex assembly		GO:1903241,	GO:0022618,
GO:0000255	P	allantoin metabolic process	allB,allC,allD,glxR,ybcF,	GO:0019428,GO:0000256,	GO:1901360,GO:0043603,GO:0046483,GO:0017144,GO:1901564,
GO:0000256	P	allantoin catabolic process	allB,allC,allD,glxR,ybcF,	GO:0009442,	GO:1901361,GO:1901565,GO:0000255,GO:0042737,GO:0046700,GO:0043605,
GO:0000266	P	mitochondrial fission			GO:0048285,GO:0007005,
GO:0000270	P	peptidoglycan metabolic process	amiD,ampD,ampG,ampH,bacA,dacA,dacB,dacC,dacD,ddlA,ddlB,ddpX,elyC,erfK,ftsI,ftsW,glmM,ispU,ldcA,ldtA,ldtB,ldtC,lpoA,lpoB,mepA,mepH,mepM,mepS,mipA,mltA,mltB,mltC,mltF,mltG,mpaA,mrcA,mrcB,mrdA,mrdB,mtgA,murA,murB,murC,murD,murE,murF,murG,murI,murJ,murQ,nagE,nagK,nagZ,pbpC,pbpG,pgpB,slt,ybiS,ycbB,ycfS,ygeA,yiaT,ynhG,	GO:0009252,GO:0009254,GO:0009253,	GO:0030203,
GO:0000271	P	polysaccharide biosynthetic process	arnB,arnT,bcsA,bcsQ,cpsB,eptA,fepE,galE,galU,glgA,glgB,glgC,kdsC,manA,mcbA,mdoD,mdoG,opgG,opgH,pgm,rcsF,rfaB,rfbB,rfbC,rfbD,rfe,rffC,rffG,rffH,rffM,rffT,ugd,wbbK,wcaC,wcaJ,wecA,wecB,wecC,wecE,wzb,wzc,wzyE,wzzB,wzzE,yhjR,yjbE,yjbF,yjbG,yjbH,ypdI,	GO:0033692,GO:0010246,GO:0045489,GO:0051070,GO:0035884,	GO:0016051,GO:0009059,GO:0005976,
GO:0000272	P	polysaccharide catabolic process	bglX,glgP,glgX,malP,malS,malZ,	GO:0045493,GO:0033393,GO:0052786,GO:0093001,GO:0009251,GO:2000885,GO:0051682,GO:0044247,GO:0031222,GO:0052359,GO:0044239,GO:0045490,GO:2000884,GO:0052787,GO:2000895,	GO:0016052,GO:0009057,GO:0005976,
GO:0000278	P	mitotic cell cycle		GO:0045448,GO:0033301,GO:0033277,GO:0007113,GO:0016330,	GO:0007049,
GO:0000279	P	M phase		GO:0000087,GO:0051327,	GO:0022403,
GO:0000280	P	nuclear division		GO:0140013,GO:0140014,GO:0051337,GO:0075034,	GO:0048285,
GO:0000281	P	mitotic cytokinesis		GO:0010069,	GO:0061640,GO:1903047,
GO:0000282	P	cellular bud site selection		GO:0007121,GO:0007120,	GO:0030010,GO:1903047,
GO:0000284	P	obsolete shmoo orientation			
GO:0000288	P	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay			GO:0000956,
GO:0000289	P	nuclear-transcribed mRNA poly(A) tail shortening		GO:0098806,	GO:0000956,
GO:0000290	P	deadenylation-dependent decapping of nuclear-transcribed mRNA			GO:0000956,
GO:0000291	P	nuclear-transcribed mRNA catabolic process, exonucleolytic		GO:0070480,GO:0043928,GO:0043927,GO:0034427,GO:0034428,	GO:0000956,
GO:0000292	P	RNA fragment catabolic process			GO:0006401,
GO:0000294	P	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay			GO:0000956,
GO:0000296	P	spermine transport		GO:1903710,	GO:0015893,GO:0015846,GO:0015696,
GO:0000301	P	retrograde transport, vesicle recycling within Golgi			GO:0006891,
GO:0000302	P	response to reactive oxygen species	ariR,barA,bsmA,fnr,fpr,gstA,hcp,katG,mdtK,msrP,norV,norW,pdeF,rclA,rclB,rclC,rpmF,sodB,tatD,uspE,yajL,ychH,ydeI,yfcF,yggE,ygiW,yhcN,yhjA,yjaA,yodD,yqhD,	GO:0071731,GO:0034614,GO:0042542,GO:0010193,GO:0000305,GO:0001315,GO:0000304,GO:1901530,	GO:1901700,GO:0006979,
GO:0000303	P	response to superoxide	fpr,sodB,	GO:0071451,	GO:0000305,
GO:0000304	P	response to singlet oxygen		GO:0071452,	GO:0042493,GO:0010035,GO:0007584,GO:0000302,
GO:0000305	P	response to oxygen radical	fpr,rclA,sodB,	GO:0000303,GO:0071450,	GO:0010035,GO:0000302,
GO:0000316	P	sulfite transport			GO:0072348,GO:0015698,
GO:0000320	P	re-entry into mitotic cell cycle		GO:0000321,	GO:0022402,
GO:0000321	P	re-entry into mitotic cell cycle after pheromone arrest			GO:0000754,GO:0000320,
GO:0000335	P	negative regulation of transposition, DNA-mediated			GO:0045910,GO:0010529,GO:0000337,
GO:0000336	P	positive regulation of transposition, DNA-mediated			GO:0010530,GO:0000337,GO:0045911,
GO:0000337	P	regulation of transposition, DNA-mediated		GO:0000335,GO:0000336,	GO:0010528,GO:0000018,
GO:0000338	P	protein deneddylation			GO:0070646,
GO:0000348	P	mRNA branch site recognition			GO:0022618,
GO:0000349	P	generation of catalytic spliceosome for first transesterification step			GO:0022618,
GO:0000350	P	generation of catalytic spliceosome for second transesterification step			GO:0022618,
GO:0000352	P	trans assembly of SL-containing precatalytic spliceosome			GO:0022618,
GO:0000353	P	formation of quadruple SL/U4/U5/U6 snRNP			GO:0022618,
GO:0000354	P	cis assembly of pre-catalytic spliceosome			GO:0022618,
GO:0000365	P	mRNA trans splicing, via spliceosome		GO:0045291,GO:0000366,	GO:0000398,
GO:0000366	P	intergenic mRNA trans splicing			GO:0000365,GO:0000380,
GO:0000372	P	Group I intron splicing	rpsL,		GO:0000376,
GO:0000373	P	Group II intron splicing			GO:0000377,
GO:0000374	P	Group III intron splicing			GO:0000377,
GO:0000375	P	RNA splicing, via transesterification reactions	rpsL,	GO:0000377,GO:0000376,	GO:0008380,
GO:0000376	P	RNA splicing, via transesterification reactions with guanosine as nucleophile	rpsL,	GO:0000372,	GO:0000375,
GO:0000377	P	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile		GO:0000398,GO:0000373,GO:0000374,	GO:0000375,
GO:0000378	P	RNA exon ligation		GO:0000968,	GO:0016070,
GO:0000379	P	tRNA-type intron splice site recognition and cleavage			GO:0006396,
GO:0000380	P	alternative mRNA splicing, via spliceosome		GO:0000366,	GO:0000398,
GO:0000381	P	regulation of alternative mRNA splicing, via spliceosome			GO:0048024,
GO:0000387	P	spliceosomal snRNP assembly		GO:0000244,	GO:0022618,
GO:0000388	P	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)			GO:0022618,
GO:0000389	P	mRNA 3'-splice site recognition		GO:0034403,	GO:0006376,
GO:0000390	P	spliceosomal complex disassembly			GO:0032988,
GO:0000393	P	spliceosomal conformational changes to generate catalytic conformation			GO:0022618,
GO:0000394	P	RNA splicing, via endonucleolytic cleavage and ligation		GO:0006388,GO:0070054,	GO:0008380,
GO:0000395	P	mRNA 5'-splice site recognition		GO:0034403,	GO:0006376,
GO:0000398	P	mRNA splicing, via spliceosome		GO:0000365,GO:0045292,GO:0000380,	GO:0006397,GO:0000377,
GO:0000409	P	regulation of transcription by galactose		GO:0000431,GO:0000410,GO:0000411,	GO:0006355,
GO:0000410	P	carbon catabolite repression of transcription by galactose		GO:0000434,	GO:0045013,GO:0000409,
GO:0000411	P	positive regulation of transcription by galactose		GO:0000435,	GO:0000409,GO:0045991,
GO:0000412	P	histone peptidyl-prolyl isomerization			GO:0000413,GO:0016570,
GO:0000413	P	protein peptidyl-prolyl isomerization	fklB,fkpA,fkpB,ppiC,ppiD,slyD,surA,tig,	GO:0000412,	GO:0018208,
GO:0000414	P	regulation of histone H3-K36 methylation		GO:0000416,GO:0000415,GO:2001253,	GO:0031060,
GO:0000415	P	negative regulation of histone H3-K36 methylation		GO:2001254,	GO:0031061,GO:0000414,
GO:0000416	P	positive regulation of histone H3-K36 methylation		GO:2001255,	GO:0031062,GO:0000414,
GO:0000422	P	autophagy of mitochondrion		GO:0000423,GO:0035695,GO:0000424,	GO:0061726,GO:0006914,
GO:0000423	P	mitophagy			GO:0061912,GO:0000422,
GO:0000424	P	micromitophagy			GO:0016237,GO:0000422,
GO:0000425	P	pexophagy			GO:0030242,GO:0061912,
GO:0000426	P	micropexophagy			GO:0016237,GO:0030242,
GO:0000429	P	carbon catabolite regulation of transcription from RNA polymerase II promoter		GO:0000431,GO:0061413,GO:0000437,GO:0000430,GO:0000436,	GO:0006357,GO:0045990,
GO:0000430	P	regulation of transcription from RNA polymerase II promoter by glucose		GO:0000432,GO:0061987,	GO:0000429,GO:0046015,
GO:0000431	P	regulation of transcription from RNA polymerase II promoter by galactose		GO:0000434,GO:0000435,	GO:0000429,GO:0000409,
GO:0000432	P	positive regulation of transcription from RNA polymerase II promoter by glucose			GO:0000430,GO:0046016,GO:0000436,
GO:0000433	P	carbon catabolite repression of transcription from RNA polymerase II promoter by glucose			GO:0045014,GO:0061987,
GO:0000434	P	carbon catabolite repression of transcription from RNA polymerase II promoter by galactose			GO:0000431,GO:0000437,GO:0000410,
GO:0000435	P	positive regulation of transcription from RNA polymerase II promoter by galactose			GO:0000431,GO:0000436,GO:0000411,
GO:0000436	P	carbon catabolite activation of transcription from RNA polymerase II promoter		GO:0000435,GO:0000432,GO:0061414,GO:0061429,	GO:0045944,GO:0000429,GO:0045991,
GO:0000437	P	carbon catabolite repression of transcription from RNA polymerase II promoter		GO:0061415,GO:0000434,	GO:0045013,GO:0000122,GO:0000429,
GO:0000447	P	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000479,
GO:0000448	P	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000479,
GO:0000449	P	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)		GO:0000458,GO:0000457,	GO:0000478,
GO:0000450	P	cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)			GO:0000478,
GO:0000451	P	rRNA 2'-O-methylation	rlmB,rlmE,rlmM,rsmI,yfiF,	GO:0000453,GO:0000452,	GO:0031167,
GO:0000452	P	snoRNA guided rRNA 2'-O-methylation			GO:0016074,GO:0000451,
GO:0000453	P	enzyme-directed rRNA 2'-O-methylation	rlmB,rlmE,rlmM,rsmI,yfiF,		GO:0000451,
GO:0000454	P	snoRNA guided rRNA pseudouridine synthesis			GO:0031118,GO:0016074,
GO:0000455	P	enzyme-directed rRNA pseudouridine synthesis	rluA,rluB,rluC,rluD,rluE,rluF,rsuA,		GO:0031118,
GO:0000456	P	dimethylation involved in SSU-rRNA maturation			GO:0070475,
GO:0000457	P	endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)			GO:0000449,
GO:0000458	P	endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)			GO:0000449,
GO:0000459	P	exonucleolytic trimming involved in rRNA processing		GO:0000465,GO:0000467,	GO:0090503,GO:0000469,
GO:0000460	P	maturation of 5.8S rRNA		GO:0000466,GO:0000487,	GO:0006364,
GO:0000461	P	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0031125,GO:0000479,
GO:0000462	P	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	rpsI,rpsK,		GO:0030490,
GO:0000463	P	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000470,
GO:0000464	P	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000479,
GO:0000465	P	exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000459,GO:0000967,
GO:0000466	P	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000460,
GO:0000467	P	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0031125,GO:0000459,
GO:0000468	P	generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0031125,
GO:0000469	P	cleavage involved in rRNA processing	ybeY,	GO:0000477,GO:0000459,GO:0000478,	GO:0090501,
GO:0000470	P	maturation of LSU-rRNA	rplA,	GO:0002108,GO:0000488,GO:0000473,GO:0000463,	GO:0006364,
GO:0000471	P	endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000479,
GO:0000472	P	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000479,GO:0000967,
GO:0000473	P	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)			GO:0000470,
GO:0000474	P	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)			GO:0030490,
GO:0000475	P	maturation of 2S rRNA			GO:0006364,
GO:0000476	P	maturation of 4.5S rRNA			GO:0006364,
GO:0000477	P	generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000469,GO:0000967,
GO:0000478	P	endonucleolytic cleavage involved in rRNA processing	ybeY,	GO:0000479,GO:0002103,GO:0000450,GO:0000449,GO:0000483,	GO:0000469,GO:0090502,
GO:0000479	P	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)		GO:0000464,GO:0000448,GO:0000472,GO:0000461,GO:0000447,GO:0000480,GO:0000471,	GO:0000478,
GO:0000480	P	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000479,
GO:0000481	P	maturation of 5S rRNA		GO:0000482,GO:0002107,	GO:0006364,
GO:0000482	P	maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			GO:0000481,
GO:0000483	P	endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)		GO:0000486,GO:0000485,GO:0000484,	GO:0000478,
GO:0000484	P	cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)			GO:0000483,
