# From get_uniq_lowest_levels_v2.pl on Tue Apr 21 11:50:01 2020
# Input = all_go_levels_extended.txt
GO ID	GO level	Total Genes	Genes in GO	GO name
GO:0009051	5	1	gnd,	pentose-phosphate shunt, oxidative branch
GO:0006098	5	10	gnd,pgl,rpe,rpiA,rpiB,talA,talB,tktA,tktB,zwf,	pentose-phosphate shunt
GO:0006040	5	17	agaI,alsK,anmK,frlB,frlC,glmM,glmS,glmU,murQ,murR,nagA,nagB,nanA,nanE,nanK,nanS,yieK,	amino sugar metabolic process
GO:0006054	6	9	agaI,alsK,nagA,nagB,nanA,nanE,nanK,nanS,yieK,	N-acetylneuraminate metabolic process
GO:0019262	6	8	agaI,alsK,nagA,nagB,nanA,nanE,nanK,yieK,	N-acetylneuraminate catabolic process
GO:0046348	6	11	agaI,alsK,frlC,murQ,murR,nagA,nagB,nanA,nanE,nanK,yieK,	amino sugar catabolic process
GO:0097173	7	2	murQ,murR,	N-acetylmuramic acid catabolic process
GO:0006047	5	7	agaI,frlB,glmM,glmS,glmU,nagB,yieK,	UDP-N-acetylglucosamine metabolic process
GO:0006048	6	6	agaI,glmM,glmS,glmU,nagB,yieK,	UDP-N-acetylglucosamine biosynthetic process
GO:1901137	5	107	agaI,arnA,arnB,arnC,arnD,arnE,arnF,arnT,cpsB,cpsG,dxs,eptA,eptB,eptC,etk,fcl,fepE,galE,galF,galU,glf,glmM,glmS,glmU,gmd,gmhA,gmhB,gmm,gpsA,grxA,grxC,gutQ,hldE,kdsA,kdsB,kdsC,kdsD,lpxL,lpxM,lpxP,lpxT,manA,mcbA,murA,nagB,nrdA,nrdB,nrdD,nrdE,nrdF,opgB,rfaD,rfbA,rfbB,rfbC,rfbD,rfbX,rfe,rffC,rffG,rffH,rffM,tpiA,ugd,waaA,waaB,waaC,waaF,waaG,waaJ,waaL,waaO,waaP,waaQ,waaS,waaU,waaY,waaZ,wbbH,wbbI,wbbJ,wbbK,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,wcaI,wcaJ,wcaK,wcaL,wcaM,wecB,wecC,wecE,wecF,wecH,wzb,wzc,wzxC,wzxE,wzyE,wzzB,wzzE,yieK,ypdI,	carbohydrate derivative biosynthetic process
GO:2001061	6	1	gmhA,	D-glycero-D-manno-heptose 7-phosphate biosynthetic process
GO:0009226	6	21	agaI,arnA,cpsB,cpsG,fcl,glmM,glmS,glmU,gmhB,hldE,kdsB,manA,murA,nagB,rfaD,rfbA,rfbB,rfbC,rfbD,ugd,yieK,	nucleotide-sugar biosynthetic process
GO:0033320	7	1	arnA,	UDP-D-xylose biosynthetic process
GO:0006065	7	1	ugd,	UDP-glucuronate biosynthetic process
GO:0019277	7	1	murA,	UDP-N-acetylgalactosamine biosynthetic process
GO:0009298	7	3	cpsB,cpsG,manA,	GDP-mannose biosynthetic process
GO:2001315	7	1	arnA,	UDP-4-deoxy-4-formamido-beta-L-arabinopyranose biosynthetic process
GO:0019305	7	4	rfbA,rfbB,rfbC,rfbD,	dTDP-rhamnose biosynthetic process
GO:0033468	7	1	kdsB,	CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process
GO:0097171	7	3	gmhB,hldE,rfaD,	ADP-L-glycero-beta-D-manno-heptose biosynthetic process
GO:0009246	6	13	rfe,rffC,rffG,rffH,rffM,wecB,wecC,wecE,wecF,wecH,wzxE,wzyE,wzzE,	enterobacterial common antigen biosynthetic process
GO:0046167	6	1	gpsA,	glycerol-3-phosphate biosynthetic process
GO:0009103	6	72	arnA,arnB,arnC,arnD,arnE,arnF,arnT,cpsB,cpsG,eptA,eptB,eptC,etk,fepE,galF,glf,glmU,gmhA,gmhB,gmm,gutQ,hldE,kdsA,kdsB,kdsC,kdsD,lpxL,lpxM,lpxP,lpxT,rfaD,rfbA,rfbB,rfbC,rfbD,rfbX,rfe,rffG,ugd,waaA,waaB,waaC,waaF,waaG,waaJ,waaL,waaO,waaP,waaQ,waaS,waaU,waaY,waaZ,wbbH,wbbI,wbbJ,wbbK,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,wcaI,wcaJ,wcaK,wcaL,wcaM,wzc,wzxC,wzzB,wzzE,	lipopolysaccharide biosynthetic process
GO:0046166	6	1	tpiA,	glyceraldehyde-3-phosphate biosynthetic process
GO:0052865	6	1	dxs,	1-deoxy-D-xylulose 5-phosphate biosynthetic process
GO:0009263	6	7	grxA,grxC,nrdA,nrdB,nrdD,nrdE,nrdF,	deoxyribonucleotide biosynthetic process
GO:0009265	7	1	nrdD,	2'-deoxyribonucleotide biosynthetic process
GO:0006490	5	1	opgB,	oligosaccharide-lipid intermediate biosynthetic process
GO:0030388	5	4	fbp,glpX,pfkA,yggF,	fructose 1,6-bisphosphate metabolic process
GO:0009225	5	28	agaI,arnA,bcsA,bcsB,cpsB,cpsG,fcl,frlB,galF,galU,glmM,glmS,glmU,gmd,gmhB,hldE,kdsB,manA,murA,nagB,rfaD,rfbA,rfbB,rfbC,rfbD,rffG,ugd,yieK,	nucleotide-sugar metabolic process
GO:0006011	5	4	bcsA,bcsB,galF,galU,	UDP-glucose metabolic process
GO:0019673	6	4	cpsB,cpsG,gmd,manA,	GDP-mannose metabolic process
GO:0015977	4	1	ppc,	carbon fixation
GO:0005975	4	245	aceA,aceB,aceE,aceF,aceK,acnA,acnB,agaI,agp,aldA,alsE,alsK,amyA,anmK,araA,araB,araC,araD,arnB,arnD,ascB,bcsZ,bglA,bglB,bglX,chbF,chbG,chiA,cpsB,cpsG,cra,deoC,dgoA,dgoD,dgoK,dhaK,dkgA,dkgB,ebgA,edd,eno,epd,fbaA,fbaB,fbp,frlD,fruK,fsaA,fsaB,fucA,fucI,fucK,fucO,fucP,fucR,fucU,galE,galK,galM,galR,galT,galU,gapA,gatY,gcd,ghrB,glcB,glgB,glgC,glgP,glgX,glk,glmM,glmS,glpK,glpX,glvG,gmhA,gmhB,gnd,gntK,gntP,gntR,gntT,gph,gpmA,gpmM,gpsA,gsk,gutQ,hldE,hxpA,hxpB,icd,iclR,idnD,idnK,idnO,idnT,kbaY,kbaZ,kdgK,kdsD,kduD,kduI,lacZ,lgoD,lgoR,lldD,lpd,lsrK,lyxK,maeA,mak,malP,malQ,malS,malT,malZ,manA,mdh,melA,mlc,mngB,murG,murQ,murR,nagA,nagB,nagC,nagK,nagZ,nanA,nanE,nanK,nanM,nanS,opgC,opgD,opgG,otnC,pck,pfkA,pfkB,pflA,pflB,pflC,pgaB,pgi,pgk,pgl,pgm,phnN,ppsA,prkB,prpC,psuK,pxpA,pykA,pykF,rbsD,rbsK,rfaD,rfbC,rfbD,rffH,rhaA,rhaB,rhaD,rhaM,rhaR,rhaS,rpe,rpiB,sdaA,sdaB,sgbE,sgbH,sgbU,sgcE,sucA,suhB,talA,talB,tdcE,tdcG,tpiA,treC,ugd,uidA,ulaD,ulaE,ulaF,ulaG,umpH,uxaA,uxaB,uxaC,uxuA,uxuB,waaP,waaY,wcaJ,wecC,wecE,wza,wzb,wzc,xylA,xylB,yadE,yagE,yagF,yagH,ybiW,ycjM,ycjR,ycjT,ycjU,ydjH,ydjI,yeaD,yegX,yeiI,yfdG,ygbJ,ygbK,ygbL,ygbM,ygcE,yggF,yibQ,yicI,yidK,yidR,yieK,yieL,yihQ,yihR,yihV,yjhG,yjhH,yphB,ytjC,zwf,	carbohydrate metabolic process
GO:0016051	5	14	arnB,cpsB,fbp,opgD,opgG,rffH,ugd,wcaJ,wecC,wecE,wza,wzb,wzc,yfdG,	carbohydrate biosynthetic process
GO:0000271	6	11	arnB,cpsB,rffH,ugd,wcaJ,wecC,wecE,wza,wzb,wzc,yfdG,	polysaccharide biosynthetic process
GO:0009311	5	5	malS,malZ,mngB,opgC,treC,	oligosaccharide metabolic process
GO:0009313	6	4	malS,malZ,mngB,treC,	oligosaccharide catabolic process
GO:0051692	6	2	malS,malZ,	cellular oligosaccharide catabolic process
