# From GOs_lib_files/regulons_in_gos_v5.pl on Mon Jun 15 17:12:05 2020
# Input = GUs_Regulon10.6.3_groups_complex_regulons/Regulon10.6.3_network_complex_regulons.txt
# GOs_lib_files/gene_gos.txt
# GOs_lib_files/go_uniq_levels_extended.txt
Group name	GO ID	GO level	Genes in group	Genes in GO	Percentage	GO name
AraC_CRP_XylR	GO:0044237	3	3	1	0.33	cellular metabolic process
AraC_CRP_XylR	GO:0006793	4	3	1	0.33	phosphorus metabolic process
AraC_CRP_XylR	GO:0006796	5	3	1	0.33	phosphate-containing compound metabolic process
AraC_CRP_XylR	GO:0016310	6	3	1	0.33	phosphorylation
AraC_CRP_XylR	GO:0044238	3	3	3	1.00	primary metabolic process
ArcA_BetI_Cra	GO:0008152	2	4	2	0.50	metabolic process
ArcA_BetI_Cra	GO:0055114	3	4	2	0.50	oxidation-reduction process
ArcA_BetI_Cra	GO:0050896	2	4	4	1.00	response to stimulus
ArcA_BetI_Cra	GO:0006950	3	4	4	1.00	response to stress
ArcA_BetI_Cra	GO:0033554	4	4	1	0.25	cellular response to stress
ArcA_BetI_Cra	GO:0006974	5	4	1	0.25	cellular response to DNA damage stimulus
ArcA_BetI_Cra	GO:0006970	4	4	3	0.75	response to osmotic stress
ArcA_CRP_CaiF_FNR_H-NS	GO:0008152	2	6	1	0.17	metabolic process
ArcA_CRP_CaiF_FNR_H-NS	GO:0055114	3	6	1	0.17	oxidation-reduction process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0008152	2	5	5	1.00	metabolic process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0009058	3	5	1	0.20	biosynthetic process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0044249	4	5	1	0.20	cellular biosynthetic process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0044271	5	5	1	0.20	cellular nitrogen compound biosynthetic process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0033014	6	5	1	0.20	tetrapyrrole biosynthetic process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0006779	6	5	1	0.20	porphyrin-containing compound biosynthetic process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0006783	7	5	1	0.20	heme biosynthetic process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0048034	8	5	1	0.20	heme O biosynthetic process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0051188	5	5	1	0.20	cofactor biosynthetic process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0044237	3	5	5	1.00	cellular metabolic process
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0006091	4	5	4	0.80	generation of precursor metabolites and energy
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0022900	4	5	4	0.80	electron transport chain
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0022904	5	5	4	0.80	respiratory electron transport chain
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0042773	6	5	1	0.20	ATP synthesis coupled electron transport
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0019646	6	5	4	0.80	aerobic electron transport chain
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_HprR_PdhR	GO:0055114	3	5	4	0.80	oxidation-reduction process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0008152	2	2	2	1.00	metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0071704	3	2	2	1.00	organic substance metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0005975	4	2	2	1.00	carbohydrate metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0016052	5	2	2	1.00	carbohydrate catabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0006096	5	2	2	1.00	glycolytic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0044237	3	2	2	1.00	cellular metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0006793	4	2	2	1.00	phosphorus metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0006796	5	2	2	1.00	phosphate-containing compound metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0006753	6	2	2	1.00	nucleoside phosphate metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0009132	7	2	2	1.00	nucleoside diphosphate metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0006165	8	2	2	1.00	nucleoside diphosphate phosphorylation
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0006757	4	2	2	1.00	ATP generation from ADP
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0009117	7	2	2	1.00	nucleotide metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0006725	4	2	2	1.00	cellular aromatic compound metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0006139	4	2	2	1.00	nucleobase-containing compound metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0055086	5	2	2	1.00	nucleobase-containing small molecule metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0006091	4	2	2	1.00	generation of precursor metabolites and energy
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0055114	3	2	1	0.50	oxidation-reduction process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0044238	3	2	2	1.00	primary metabolic process
ArcA_CRP_Cra_FNR_NsrR_PdhR	GO:0046034	3	2	2	1.00	ATP metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0008152	2	3	3	1.00	metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0071704	3	3	3	1.00	organic substance metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0005975	4	3	3	1.00	carbohydrate metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0044262	4	3	3	1.00	cellular carbohydrate metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0006097	5	3	3	1.00	glyoxylate cycle
ArcA_CRP_Cra_IHF_IclR	GO:0005996	5	3	1	0.33	monosaccharide metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0019318	6	3	1	0.33	hexose metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0006006	7	3	1	0.33	glucose metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0044237	3	3	3	1.00	cellular metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0006793	4	3	1	0.33	phosphorus metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0006796	5	3	1	0.33	phosphate-containing compound metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0016310	6	3	1	0.33	phosphorylation
ArcA_CRP_Cra_IHF_IclR	GO:0006468	7	3	1	0.33	protein phosphorylation
ArcA_CRP_Cra_IHF_IclR	GO:0018105	8	3	1	0.33	peptidyl-serine phosphorylation
ArcA_CRP_Cra_IHF_IclR	GO:0016311	6	3	1	0.33	dephosphorylation
ArcA_CRP_Cra_IHF_IclR	GO:0006470	7	3	1	0.33	protein dephosphorylation
ArcA_CRP_Cra_IHF_IclR	GO:0070262	8	3	1	0.33	peptidyl-serine dephosphorylation
ArcA_CRP_Cra_IHF_IclR	GO:0044238	3	3	3	1.00	primary metabolic process
ArcA_CRP_Cra_IHF_IclR	GO:0006099	4	3	3	1.00	tricarboxylic acid cycle
ArcA_CRP_DcuR_DpiA_FNR_NarL	GO:0008152	2	2	1	0.50	metabolic process
ArcA_CRP_DcuR_DpiA_FNR_NarL	GO:0044237	3	2	1	0.50	cellular metabolic process
ArcA_CRP_DcuR_DpiA_FNR_NarL	GO:0006793	4	2	1	0.50	phosphorus metabolic process
ArcA_CRP_DcuR_DpiA_FNR_NarL	GO:0006796	5	2	1	0.50	phosphate-containing compound metabolic process
ArcA_CRP_DcuR_DpiA_FNR_NarL	GO:0016310	6	2	1	0.50	phosphorylation
ArcA_CRP_DcuR_DpiA_FNR_NarL	GO:0006468	7	2	1	0.50	protein phosphorylation
ArcA_CRP_DcuR_DpiA_FNR_NarL	GO:0018106	8	2	1	0.50	peptidyl-histidine phosphorylation
ArcA_CRP_DcuR_DpiA_FNR_NarL	GO:0046777	8	2	1	0.50	protein autophosphorylation
ArcA_CRP_DcuR_DpiA_FNR_NarL	GO:0023014	8	2	1	0.50	signal transduction by protein phosphorylation
ArcA_CRP_DpiA_FNR_NarL	GO:0008152	2	5	3	0.60	metabolic process
ArcA_CRP_DpiA_FNR_NarL	GO:0009058	3	5	3	0.60	biosynthetic process
ArcA_CRP_DpiA_FNR_NarL	GO:0044249	4	5	2	0.40	cellular biosynthetic process
ArcA_CRP_DpiA_FNR_NarL	GO:0051188	5	5	2	0.40	cofactor biosynthetic process
ArcA_CRP_DpiA_FNR_NarL	GO:0051191	6	5	2	0.40	prosthetic group biosynthetic process
ArcA_CRP_DpiA_FNR_NarL	GO:0044237	3	5	2	0.40	cellular metabolic process
ArcA_CRP_DpiA_FNR_NarL	GO:0006793	4	5	1	0.20	phosphorus metabolic process
ArcA_CRP_DpiA_FNR_NarL	GO:0006796	5	5	1	0.20	phosphate-containing compound metabolic process
ArcA_CRP_DpiA_FNR_NarL	GO:0016310	6	5	1	0.20	phosphorylation
ArcA_CRP_FNR_Fis_FlhDC_GlpR	GO:0008152	2	3	3	1.00	metabolic process
ArcA_CRP_FNR_Fis_FlhDC_GlpR	GO:0044237	3	3	1	0.33	cellular metabolic process
ArcA_CRP_FNR_Fis_FlhDC_GlpR	GO:0006091	4	3	1	0.33	generation of precursor metabolites and energy
ArcA_CRP_FNR_Fis_FlhDC_GlpR	GO:0022900	4	3	1	0.33	electron transport chain
ArcA_CRP_FNR_Fis_FlhDC_GlpR	GO:0055114	3	3	3	1.00	oxidation-reduction process
ArcA_CRP_FNR_Fur	GO:0008152	2	4	4	1.00	metabolic process
ArcA_CRP_FNR_Fur	GO:0044237	3	4	4	1.00	cellular metabolic process
ArcA_CRP_FNR_Fur	GO:0006091	4	4	4	1.00	generation of precursor metabolites and energy
ArcA_CRP_FNR_Fur	GO:0022900	4	4	4	1.00	electron transport chain
ArcA_CRP_FNR_Fur	GO:0022904	5	4	1	0.25	respiratory electron transport chain
ArcA_CRP_FNR_Fur	GO:0055114	3	4	4	1.00	oxidation-reduction process
ArcA_CRP_FNR_Fur	GO:0044238	3	4	4	1.00	primary metabolic process
ArcA_CRP_FNR_Fur	GO:0006099	4	4	4	1.00	tricarboxylic acid cycle
ArcA_CRP_FNR_Fur_IHF	GO:0008152	2	4	4	1.00	metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0071704	3	4	1	0.25	organic substance metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0005975	4	4	1	0.25	carbohydrate metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0016052	5	4	1	0.25	carbohydrate catabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0006096	5	4	1	0.25	glycolytic process
ArcA_CRP_FNR_Fur_IHF	GO:0044237	3	4	2	0.50	cellular metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0006793	4	4	2	0.50	phosphorus metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0006796	5	4	2	0.50	phosphate-containing compound metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0016310	6	4	1	0.25	phosphorylation
ArcA_CRP_FNR_Fur_IHF	GO:0006468	7	4	1	0.25	protein phosphorylation
ArcA_CRP_FNR_Fur_IHF	GO:0046777	8	4	1	0.25	protein autophosphorylation
ArcA_CRP_FNR_Fur_IHF	GO:0006753	6	4	2	0.50	nucleoside phosphate metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0009132	7	4	2	0.50	nucleoside diphosphate metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0006165	8	4	2	0.50	nucleoside diphosphate phosphorylation
ArcA_CRP_FNR_Fur_IHF	GO:0006757	4	4	1	0.25	ATP generation from ADP
ArcA_CRP_FNR_Fur_IHF	GO:0009117	7	4	2	0.50	nucleotide metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0006725	4	4	2	0.50	cellular aromatic compound metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0006139	4	4	2	0.50	nucleobase-containing compound metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0055086	5	4	2	0.50	nucleobase-containing small molecule metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0006091	4	4	1	0.25	generation of precursor metabolites and energy
ArcA_CRP_FNR_Fur_IHF	GO:0055114	3	4	1	0.25	oxidation-reduction process
ArcA_CRP_FNR_Fur_IHF	GO:0044238	3	4	4	1.00	primary metabolic process
ArcA_CRP_FNR_Fur_IHF	GO:0006099	4	4	4	1.00	tricarboxylic acid cycle
ArcA_CRP_FNR_Fur_IHF	GO:0046034	3	4	1	0.25	ATP metabolic process
ArcA_CRP_GatR	GO:0008152	2	5	3	0.60	metabolic process
ArcA_CRP_GatR	GO:0071704	3	5	1	0.20	organic substance metabolic process
ArcA_CRP_GatR	GO:0005975	4	5	1	0.20	carbohydrate metabolic process
ArcA_CRP_GatR	GO:0044237	3	5	1	0.20	cellular metabolic process
ArcA_CRP_GatR	GO:0006793	4	5	1	0.20	phosphorus metabolic process
ArcA_CRP_GatR	GO:0006796	5	5	1	0.20	phosphate-containing compound metabolic process
ArcA_CRP_GatR	GO:0016310	6	5	1	0.20	phosphorylation
ArcA_CRP_GatR	GO:0055114	3	5	1	0.20	oxidation-reduction process
ArcA_CRP_GatR	GO:0044238	3	5	1	0.20	primary metabolic process
ArcA_CRP_PuuR	GO:0008152	2	5	3	0.60	metabolic process
ArcA_CRP_PuuR	GO:0055114	3	5	2	0.40	oxidation-reduction process
ArcA_CRP_PuuR	GO:0044238	3	5	1	0.20	primary metabolic process
ArcA_CRP_PuuR	GO:0006520	4	5	1	0.20	cellular amino acid metabolic process
ArcA_CRP_PuuR	GO:0009448	5	5	1	0.20	gamma-aminobutyric acid metabolic process
ArcA_CRP_PuuR	GO:0009450	6	5	1	0.20	gamma-aminobutyric acid catabolic process
ArcA_CRP_PuuR	GO:0009063	5	5	1	0.20	cellular amino acid catabolic process
ArcA_CRP_TreR	GO:0008152	2	2	2	1.00	metabolic process
ArcA_CRP_TreR	GO:0071704	3	2	1	0.50	organic substance metabolic process
ArcA_CRP_TreR	GO:0005975	4	2	1	0.50	carbohydrate metabolic process
ArcA_CRP_TreR	GO:0009311	5	2	1	0.50	oligosaccharide metabolic process
ArcA_CRP_TreR	GO:0009313	6	2	1	0.50	oligosaccharide catabolic process
ArcA_CRP_TreR	GO:0016052	5	2	1	0.50	carbohydrate catabolic process
ArcA_CRP_TreR	GO:0044237	3	2	1	0.50	cellular metabolic process
ArcA_CRP_TreR	GO:0006793	4	2	1	0.50	phosphorus metabolic process
ArcA_CRP_TreR	GO:0006796	5	2	1	0.50	phosphate-containing compound metabolic process
ArcA_CRP_TreR	GO:0016310	6	2	1	0.50	phosphorylation
ArcA_CRP_TreR	GO:0044238	3	2	1	0.50	primary metabolic process
ArcA_CRP_TreR	GO:0050896	2	2	1	0.50	response to stimulus
ArcA_CRP_TreR	GO:0006950	3	2	1	0.50	response to stress
ArcA_CRP_TreR	GO:0033554	4	2	1	0.50	cellular response to stress
ArcA_CRP_TreR	GO:0006974	5	2	1	0.50	cellular response to DNA damage stimulus
