go_id	branch	name	genes	childrend	parent	color
GO:0016020	C	membrane	hslJ,gor,sugE,sstT,viaA,kefB,nhaA,mdtO,wrbA,ascF,pldB,rbbA,fdnH,ynhF,nuoB,hyaA,hflK,ypdK,setB,ridA,glvB,aspA,actP,manX,yeaV,fruA,rpsG,fdoH,uspA,rpoB,cydA,nagE,focA,mtlA,deoA,ydjE,hybO,narH,yfbL,metG,tcyN,cspC,tyrS,ghoT,ompA,arnC,flu,malF,clcA,artI,caiT,ompF,yraJ,yddA,ahpC,afuC,dcuD,kgtP,kdpA,hupA,ybjC,nfsB,copA,hns,yphA,lysU,rho,uraA,gadA,pepN,dgkA,crr,clsC,phoE,yqeG,emrE,yhdX,narZ,pyrD,pnuC,nuoC,mdtI,talB,mscS,bepA,livG,tdcC,ybiO,tcyJ,panB,mdtF,ydaN,tpiA,ompN,clsA,ecnB,envY,sbmA,adeP,ymiB,cadB,mdlA,ytfT,ydjN,ydjK,atpD,cydD,rpoC,cydB,bglF,artJ,ftsA,zupT,bioP,sodB,upp,betA,treB,purC,murP,ulaA,glnA,manZ,tnaA,fabI,ppa,acrB,nmpC,arsB,rzoQ,znuB,dctA,yhfK,glyA,napH,alsB,tauC,lpd,elfC,glnH,rpsA,rcsC,ftsK,yhdZ,ynbC,fdoG,trkA,frvB,macB,narG,pykF,hflC,gapA,lysS,sppA,lpp,acrD,zraS,ypjD,cusS,xapB,pstC,clpP,ssuA,ynaI,adhE,mntP,codB,lptF,gntP,yjfF,ecnA,ugpC,tqsA,narY,potG,bamE,mscL,rarD,gntT,opgB,appC,kefC,pheT,adiC,ackA,eno,msbA,yfaV,mdtQ,yeeO,aceE,creC,malK,nupC,mltG,fbaB,tdcE,ytfF,lpxK,rfe,infB,dnaK,pnp,yfhR,ghxQ,murJ,tig,tsgA,lacY,pqiA,purA,atpA,waaH,kup,sdaC,setA,yhjV,fdnG,kdpB,ptsG,umuC,potA,gyrA,deoD,dps,ccmE,uhpC,ydcO,bfr,aqpZ,clsB,aaeB,mrcB,ygaM,yfeO,mdoH,uspB,gadB,rbsB,ftsY,glvC,frdB,dinQ,atpG,ytjA,ydcL,clpB,deoC,mdtN,setC,wzc,pflB,hda,gltP,hslU,djlA,malG,mdh,mdtJ,groL,cydX,lpxL,btuC,frdA,alaS,mdlB,waaA,arnD,araH,kch,tatC,amtB,rfaD,dnaJ,afuB,eda,menA,yojI,rpoA,mltD,manY,rlpA,acrE,infC,cdsA,ycaC,hyaB,tsf,	GO:0042175,GO:0019867,GO:0098590,GO:1990578,GO:0031090,GO:0098805,GO:0048475,GO:0098589,GO:0036362,GO:0055036,GO:0005789,GO:0005886,GO:0005628,GO:0034357,	GO:0005575,	salmon
GO:0044464	NA	NA	NA	NA	NA	gray
GO:0005575	NA	NA	NA	NA	NA	gray
GO:0031224	C	intrinsic component of membrane	narG,narH,copA,	GO:0097633,GO:0031226,GO:0031225,GO:0031227,GO:0031360,GO:0016021,GO:0031230,GO:0031300,	GO:0044425,	salmon
GO:0006810	P	transport	ymjB,sugE,sstT,arnE,kefB,nhaA,mdtO,ascF,xapB,glvB,yhdW,yadI,actP,ssuA,ynaI,mntP,ampG,lptF,codB,yeaV,yjfF,fruA,yajR,ydeE,ptsI,ugpC,dppA,tqsA,nagE,focA,mtlA,yjeH,ytfR,gsiB,ptsH,ydjE,ydhK,sgcB,tcyN,potG,ompA,mscL,rarD,sufE,fecB,pgaA,glpT,yeeA,iscS,clcA,caiT,tusA,phnK,adiC,yraJ,yfaV,mdtQ,yddA,malK,nupC,afuC,dcuD,livM,znuA,ycjP,fhuD,ghxQ,hofQ,murJ,tusD,yhaO,sdaC,yqeG,yhjV,dgoT,emrE,kdpB,ptsG,sapA,yhdX,tbpA,potA,pnuC,uhpC,mdtI,mscS,yphF,aqpZ,malE,livK,tdcC,arnF,cysA,tcyJ,ybiO,aaeB,tauA,yfeO,fdhD,fepB,sbmA,rbsB,glvC,adeP,blc,nikA,mdlA,ytfT,fruB,mdtN,setC,ydjK,ygiS,mdtJ,malG,pstS,tolB,bglF,yhjD,treB,murP,mdlB,oppA,tusE,modC,dcuC,araH,nmpC,arsB,yccS,kch,amtB,znuB,afuB,yhfK,yojI,mppA,alsB,tauC,elfC,aaeA,ybiT,ugpB,yhdZ,ydcT,macB,acrE,potF,ytfQ,araF,	GO:0046907,GO:0015669,GO:0009914,GO:0010232,GO:0035459,GO:0050892,GO:0006839,GO:1901998,GO:0006856,GO:0099504,GO:0099111,GO:0042044,GO:0070633,GO:0051180,GO:0042908,GO:0046903,GO:0036465,GO:0072348,GO:0016192,GO:0051181,GO:0015915,GO:0071702,GO:0010496,GO:0098657,GO:0044766,GO:0055085,GO:0006858,GO:0007034,GO:0006811,GO:0015893,GO:1901678,GO:0006836,GO:0007300,GO:0071705,	GO:0051234,	lightgreen
GO:0034645	NA	NA	NA	NA	NA	gray
GO:0097659	NA	NA	NA	NA	NA	gray
GO:0032774	P	RNA biosynthetic process	adk,	GO:0006353,GO:0006269,GO:0097659,GO:0006352,GO:0001173,GO:0006354,GO:0097056,GO:0001109,GO:0001192,	GO:0034654,GO:0016070,GO:0009059,	lightgreen
GO:1903506	P	regulation of nucleic acid-templated transcription	yoeB,rssB,fliZ,dnaK,dnaJ,	GO:1900259,GO:0006355,GO:1903508,GO:1903507,	GO:2001141,	lightgreen
GO:0010468	P	regulation of gene expression	hha,bssR,rpoH,narL,prmC,	GO:0006355,GO:1902796,GO:0010629,GO:0010608,GO:0010793,GO:0050684,GO:2000232,GO:0032922,GO:0036206,GO:0043484,GO:0040029,GO:0010628,GO:1900095,GO:0002331,GO:0060968,GO:1903317,GO:0061013,GO:2000235,GO:0007468,	GO:0060255,	lightgreen
GO:2000112	NA	NA	NA	NA	NA	gray
GO:0006355	P	regulation of transcription, DNA-templated	ymfK,hycA,lrp,nsrR,cecR,nagC,dgoR,nikR,gcvR,araC,csiR,ygaV,fliA,chbR,dcuS,arcA,ybeF,higA,basR,hdfR,fis,dicA,yiaU,ybcM,torR,envR,yafN,ypdC,leuO,tdcA,ydeO,aaeR,xylR,dhaR,envY,yciT,yneL,slmA,ypdB,metR,dicC,stpA,narL,ybdO,ynfL,galR,rfaH,mfd,trpR,allS,yiiE,ygbI,cnu,gadX,hicB,cusR,nimR,acrR,feoC,yghO,mqsA,yfhH,yijO,cra,arsR,gutM,pheM,melR,gadE,rpoH,ybiH,narP,yidZ,yhjC,adiY,yfeR,ybhD,rhaS,kdpE,evgA,galS,rpoE,fnr,eutR,yfeD,dpiA,ydcI,hchA,yebK,gcvA,nanR,glcC,rhaR,gadW,rcsC,caiF,iclR,lgoR,yqhC,hexR,nusG,argP,ydiP,agaR,yehT,yddM,soxS,lrhA,rclR,hypT,uhpA,appY,rpiR,ygfI,feaR,tyrR,iscR,	GO:2000142,GO:0045893,GO:0090293,GO:0051037,GO:1904499,GO:0006357,GO:0000083,GO:1904279,GO:0031935,GO:0031554,GO:0045892,GO:0006359,GO:0009373,GO:0060194,GO:0000409,GO:0046015,GO:0051090,GO:0006356,GO:1903108,GO:0032784,GO:0043620,GO:0070028,GO:0045990,GO:0000117,GO:0007532,	GO:1903506,GO:0010468,GO:2000112,	lightgreen
GO:0010628	P	positive regulation of gene expression	cusR,lysR,cusS,	GO:0033120,GO:0045815,GO:0050685,GO:1903319,GO:0045727,GO:0045893,GO:0045872,GO:1902373,GO:0036207,GO:2000237,GO:0060969,GO:2000234,GO:1902798,GO:1903800,GO:1903705,GO:1905870,	GO:0010604,GO:0010468,	lightgreen
GO:1903508	NA	NA	NA	NA	NA	gray
GO:0032787	NA	NA	NA	NA	NA	gray
GO:0044255	P	cellular lipid metabolic process	yheT,	GO:0006490,GO:0006638,GO:0008653,GO:0006720,GO:0046505,GO:0046486,GO:0008204,GO:0030258,GO:0006643,GO:0046485,GO:0044242,GO:0006631,GO:0006644,GO:0097384,	GO:0044237,GO:0006629,	lightgreen
GO:0090407	NA	NA	NA	NA	NA	gray
GO:0006644	NA	NA	NA	NA	NA	gray
GO:0044249	NA	NA	NA	NA	NA	gray
GO:0008610	P	lipid biosynthetic process	fabA,fabG,fabI,fabB,acpP,	GO:0008299,GO:0006694,GO:1903175,GO:0097040,GO:0046460,GO:1902899,GO:0097041,GO:0008654,GO:0009103,GO:1900557,GO:0046506,GO:0006633,GO:0046467,GO:0097384,GO:0045017,	GO:1901576,GO:0006629,	lightgreen
GO:0008374	F	O-acyltransferase activity	maa,wcaF,wbbJ,	GO:0090447,GO:0047175,GO:0016750,GO:0016413,GO:0047144,GO:0032576,GO:0016753,GO:0047909,GO:0047167,GO:0016412,GO:0004366,GO:0016414,GO:0034324,GO:0008780,GO:0004607,GO:0080095,GO:0047173,GO:0034325,GO:0034323,GO:0047197,GO:0008779,GO:0047195,GO:0016406,GO:0047872,GO:0050252,GO:0016411,GO:0047190,GO:0080096,GO:0016416,GO:0050737,GO:0047184,GO:0047194,GO:0047159,GO:0047166,GO:0047191,GO:0047196,GO:0047199,GO:0032216,GO:0004173,GO:0004772,GO:0050736,GO:0034318,	GO:0016747,	lightblue
GO:0015645	NA	NA	NA	NA	NA	gray
GO:0044424	NA	NA	NA	NA	NA	gray
GO:0016755	F	transferase activity, transferring amino-acyl groups	ldtE,ldtB,aat,ldtA,ldtD,ldtC,	GO:0103068,GO:0047206,GO:0102636,GO:0000048,GO:0050411,GO:0097262,GO:0016756,GO:0047823,GO:0008914,GO:0052868,GO:0016603,GO:0047690,GO:0047637,GO:0102273,GO:0102953,GO:0047811,GO:0050071,GO:0003810,GO:0004057,GO:0102272,	GO:0140096,GO:0016746,	lightblue
GO:0140096	NA	NA	NA	NA	NA	gray
GO:0016746	F	transferase activity, transferring acyl groups	ybiW,rffC,nhoA,	GO:0046912,GO:0016747,GO:0016755,	GO:0016740,	lightblue
GO:0008238	NA	NA	NA	NA	NA	gray
GO:0016787	F	hydrolase activity	tcyN,cas3,yjjU,yhbO,kdpB,agaA,yjfP,iaaA,hrpA,radA,potA,ybfF,mdlB,sgcX,pinQ,rpsP,aes,gltL,malK,menI,afuC,nudC,mutY,abgB,radD,menH,mrdA,envC,puuD,ulaG,tatD,pbpC,def,nudG,ais,lit,rssA,hicA,ftsI,ugpC,pinE,higB,pepN,frsA,ycjT,macB,mdlA,pinR,dhaM,pgl,ydcP,bioH,uhpB,mhpC,	GO:0016827,GO:0016801,GO:0008233,GO:0003832,GO:0052770,GO:0016822,GO:0016817,GO:0051747,GO:0016826,GO:0016824,GO:0052771,GO:0016828,GO:0046508,GO:0098599,GO:0003923,GO:0017171,GO:0031964,GO:0016788,GO:0016798,GO:0016825,GO:0101005,GO:0019239,GO:0019213,GO:0016810,	GO:0003824,	lightblue
GO:0042365	NA	NA	NA	NA	NA	gray
GO:0043649	NA	NA	NA	NA	NA	gray
GO:0042737	NA	NA	NA	NA	NA	gray
GO:0009397	NA	NA	NA	NA	NA	gray
GO:0046655	P	folic acid metabolic process	folA,	GO:0046657,GO:0046656,	GO:0043648,GO:0006760,GO:0017144,GO:0006767,	lightgreen
GO:0046983	F	protein dimerization activity	pntA,	GO:0046982,GO:0042803,	GO:0005515,	lightblue
GO:0016811	F	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	rutB,	GO:0050129,GO:0050101,GO:0050538,GO:0103117,GO:0042903,GO:0034882,GO:0033969,GO:0050170,GO:0019159,GO:0050568,GO:0047773,GO:0052773,GO:0042242,GO:0103073,GO:0033966,GO:0009039,GO:0061690,GO:0018749,GO:0047902,GO:0047412,GO:0050119,GO:0008953,GO:0102281,GO:0043747,GO:0008421,GO:0004046,GO:0017064,GO:0034781,GO:0050365,GO:0050386,GO:0047980,GO:0017040,GO:0050001,GO:0050536,GO:0050152,GO:0050417,GO:0008777,GO:0047618,GO:0043756,GO:0047416,GO:0047419,GO:0102077,GO:0047574,GO:0050130,GO:0050128,GO:0019807,GO:0050125,GO:0004593,GO:0008463,GO:0047410,GO:0033965,GO:0106008,GO:0043864,GO:0050168,GO:0047411,GO:0008936,GO:0008884,GO:0071713,GO:0009014,GO:0008864,GO:0000225,GO:0047781,GO:0003837,GO:0047421,GO:0034571,GO:0034573,GO:0047588,GO:0003948,GO:0004067,GO:0050118,GO:0008448,GO:0050477,GO:0042586,GO:0047680,GO:0036054,GO:0018750,GO:0017159,GO:0004040,GO:0050387,GO:0047413,GO:0000224,GO:0033968,GO:0033964,GO:0004328,GO:0047418,GO:0047420,GO:0009017,GO:0008745,GO:0036311,GO:0050330,GO:0004039,GO:0050537,GO:0043530,GO:0043909,GO:0034885,GO:0034876,GO:0047611,GO:0102622,GO:0019875,GO:0047573,GO:0047422,GO:0045302,GO:0110050,GO:0050116,GO:0033970,GO:0034576,GO:0050126,GO:0035595,GO:0047414,GO:0008759,GO:0070773,GO:0047582,GO:0004099,GO:0050117,GO:0004359,GO:0047742,GO:0018748,GO:0047415,GO:0047708,GO:0036055,GO:0050127,GO:0047417,GO:0102572,GO:0061697,GO:0004407,GO:0102121,GO:0004061,GO:0047648,GO:0047609,GO:0008418,	GO:0016810,	lightblue
GO:0008150	NA	NA	NA	NA	NA	gray
GO:0003824	F	catalytic activity	malZ,pflC,malS,queE,ycjM,ycgM,yciV,ybiW,treC,yphB,lsrG,ygiN,guaA,eda,fdhD,amyA,lipB,puuD,glnE,pflA,pbpC,pabA,ptsI,rlmN,trpGD,yagF,yfdG,glgX,yjjW,yeeZ,glgB,ybiY,yjhG,	GO:0140096,GO:0046905,GO:0009975,GO:0140097,GO:0016874,GO:0140098,GO:0016829,GO:0016787,GO:0032451,GO:0016491,GO:0016853,GO:0046572,GO:0070283,GO:0008987,GO:0010280,GO:1990055,GO:0016740,GO:0061783,GO:0004133,	GO:0003674,	lightblue
GO:0140110	NA	NA	NA	NA	NA	gray
GO:0022804	F	active transmembrane transporter activity	arsB,yfjV,mtr,nhaB,	GO:0015291,GO:0008504,GO:0022853,GO:0015490,GO:0015399,GO:0008982,GO:0090563,GO:0046715,GO:0015576,GO:0033224,	GO:0022857,	lightblue
GO:0015291	F	secondary active transmembrane transporter activity	sbmA,abgT,	GO:0015514,GO:0015557,GO:0022897,GO:0005294,GO:0000227,GO:0015558,GO:0009977,GO:0008513,GO:0015398,GO:0015297,GO:0015351,GO:0010174,GO:0015292,GO:0015395,GO:0008490,GO:0015352,GO:0015324,GO:0005452,GO:0042960,GO:0015322,GO:0015513,GO:0015293,GO:0015400,GO:0015355,GO:0015349,GO:0015341,GO:0005371,GO:0015503,GO:0015541,GO:0005315,GO:1901680,GO:0008271,GO:0015347,	GO:0022804,	lightblue
GO:0005310	NA	NA	NA	NA	NA	gray
GO:0072349	NA	NA	NA	NA	NA	gray
GO:0071916	F	dipeptide transmembrane transporter activity	dtpA,mdtK,yeeO,dppF,dppB,dppD,dtpC,dtpD,bcr,dppC,ydeE,dtpB,	GO:0042933,GO:0015558,	GO:0035673,	lightblue
GO:0006835	P	dicarboxylic acid transport	dctA,gltP,	GO:0015830,GO:0034659,GO:1900752,GO:0042869,GO:0015885,GO:1990551,GO:0015813,GO:0019532,GO:0015742,GO:0090454,GO:1903222,GO:0015884,GO:0015740,GO:0051938,GO:0015814,GO:0089704,GO:0051958,GO:0015723,GO:0014047,	GO:0046942,	lightgreen
GO:0072337	NA	NA	NA	NA	NA	gray
GO:0042938	P	dipeptide transport	dppA,dtpD,gsiB,	GO:0042932,GO:0015814,GO:0035442,	GO:0006857,	lightgreen
GO:0098542	NA	NA	NA	NA	NA	gray
GO:0002252	NA	NA	NA	NA	NA	gray
GO:0009615	NA	NA	NA	NA	NA	gray
GO:0009314	P	response to radiation	yhjV,rpmF,pstS,groL,radA,priB,recR,bglJ,seqA,queA,glnA,uvrA,yiaL,prpR,uvrD,fis,tatC,recA,pstC,ruvA,cpxA,clpP,recC,dcd,holC,recO,dusB,envC,yahO,ruvC,recB,yahD,recG,xerD,recF,rplY,sufC,holD,dppF,uvrB,deaD,uvrC,yibA,thyA,recN,uup,ybfA,elfG,rep,	GO:0010212,GO:0009416,GO:0071478,	GO:0009628,	lightgreen
GO:0044444	NA	NA	NA	NA	NA	gray
GO:0006631	P	fatty acid metabolic process	fadD,fabH,aas,yciA,plsB,	GO:0033559,GO:0019395,GO:0009106,GO:0000038,GO:1902925,GO:0097089,GO:0001676,GO:0031407,GO:2001132,GO:0019372,GO:0071767,GO:0046459,GO:0051791,GO:0006633,GO:0009062,	GO:0032787,GO:0044255,	lightgreen
GO:0072330	NA	NA	NA	NA	NA	gray
GO:1990234	NA	NA	NA	NA	NA	gray
GO:0006633	P	fatty acid biosynthetic process	fabA,fabG,fabZ,fabD,fabB,accD,accA,acpT,accC,acpH,acpS,accB,acpP,	GO:1902321,GO:0042759,GO:0071768,GO:0000954,GO:0009107,GO:0051790,GO:0044578,GO:0051792,GO:0030497,GO:0006636,GO:0031408,GO:0042761,	GO:0006631,GO:0072330,GO:0008610,	lightgreen
GO:0001676	P	long-chain fatty acid metabolic process	fadD,	GO:2001302,GO:0051121,GO:0019369,GO:0042759,GO:1900533,GO:1903512,GO:1901751,GO:0036102,GO:0043651,GO:0042758,GO:0036109,GO:2001304,	GO:0006631,	lightgreen
